time,Ca,Cu,CL_BoNet
5.1,0.005232988,0.456252616,0.000573643
5.125,0.005237237,0.4566274,0.00057772
5.15,0.005241428,0.456997009,0.0005818
5.175,0.00524556,0.457361529,0.000585883
5.2,0.005249637,0.457721043,0.000589968
5.225,0.005253657,0.458075636,0.000594057
5.25,0.005257623,0.458425388,0.000598148
5.275,0.005261535,0.458770379,0.000602242
5.3,0.005265394,0.459110688,0.000606339
5.325,0.0052692,0.459446394,0.000610438
5.35,0.005272956,0.45977757,0.00061454
5.375,0.005276661,0.460104294,0.000618645
5.4,0.005280317,0.460426638,0.000622752
5.425,0.005283924,0.460744675,0.000626861
5.45,0.005287483,0.461058477,0.000630973
5.475,0.005290995,0.461368112,0.000635088
5.5,0.005294461,0.46167365,0.000639205
5.525,0.005297881,0.461975159,0.000643324
5.55,0.005301256,0.462272706,0.000647445
5.575,0.005304587,0.462566355,0.000651569
5.6,0.005307875,0.462856172,0.000655695
5.625,0.00531112,0.463142219,0.000659823
5.65,0.005314323,0.463424559,0.000663953
5.675,0.005317485,0.463703253,0.000668085
5.7,0.005320606,0.463978362,0.00067222
5.725,0.005323688,0.464249944,0.000676356
5.75,0.00532673,0.464518058,0.000680495
5.775,0.005329733,0.464782761,0.000684636
5.8,0.005332699,0.465044109,0.000688778
5.825,0.005335627,0.465302158,0.000692923
5.85,0.005338519,0.465556963,0.000697069
5.875,0.005341375,0.465808576,0.000701217
5.9,0.005344195,0.46605705,0.000705367
5.925,0.00534698,0.466302438,0.000709519
5.95,0.005349731,0.466544789,0.000713673
5.975,0.005352448,0.466784155,0.000717828
6,0.005355131,0.467020584,0.000721986
6.025,0.005357783,0.467254126,0.000726145
6.05,0.005360402,0.467484826,0.000730305
6.075,0.005362989,0.467712733,0.000734468
6.1,0.005365545,0.467937892,0.000738631
6.125,0.005368071,0.468160348,0.000742797
6.15,0.005370567,0.468380146,0.000746964
6.175,0.005373033,0.468597331,0.000751133
6.2,0.00537547,0.468811944,0.000755303
6.225,0.005377878,0.469024028,0.000759475
6.25,0.005380258,0.469233625,0.000763648
6.275,0.005382611,0.469440776,0.000767823
6.3,0.005384936,0.469645521,0.000771999
6.325,0.005387235,0.469847899,0.000776176
6.35,0.005389507,0.47004795,0.000780355
6.375,0.005391753,0.470245712,0.000784536
6.4,0.005393974,0.470441222,0.000788718
6.425,0.00539617,0.470634518,0.000792901
6.45,0.005398341,0.470825635,0.000797085
6.475,0.005400488,0.47101461,0.000801271
6.5,0.005402611,0.471201477,0.000805458
6.525,0.005404711,0.471386272,0.000809646
6.55,0.005406788,0.471569029,0.000813836
6.575,0.005408842,0.47174978,0.000818026
6.6,0.005410873,0.471928559,0.000822218
6.625,0.005412883,0.472105399,0.000826412
6.65,0.005414871,0.47228033,0.000830606
6.675,0.005416838,0.472453384,0.000834801
6.7,0.005418784,0.472624593,0.000838998
6.725,0.005420709,0.472793986,0.000843196
6.75,0.005422614,0.472961592,0.000847395
6.775,0.0054245,0.473127443,0.000851595
6.8,0.005426365,0.473291565,0.000855796
6.825,0.005428212,0.473453987,0.000859998
